x,y,z
2519,3224,1884
2517,3211,1880
2521,3090,2012
2544,2958,2291
2558,2897,2511
2590,2906,2538
2602,2925,2374
2596,2930,2119
2591,2864,1919
2543,2722,1878
2498,2593,2025
2457,2561,2228
2405,2693,2334
2347,2936,2282
2337,3199,2091
2385,3356,1887
2447,3341,1800
2487,3187,1878
2477,2957,2094
2418,2796,2307
2351,2771,2382
2340,2888,2268
2378,3080,1977
2433,3238,1656
2501,3231,1484
2558,3093,1566
2590,2951,1872
2589,2861,2237
2565,2910,2422
2540,3062,2299
2519,3196,1963
2515,3193,1626
2520,3047,1509
2538,2800,1686
2534,2555,2050
2503,2484,2369
2467,2603,2450
2432,2846,2251
2404,3069,1918
2405,3165,1689
2426,3090,1723
2431,2944,2003
2431,2831,2339
2415,2810,2529
2419,2917,2471
2429,3034,2207
2433,3120,1882
2441,3109,1687
2421,3013,1724
2430,2898,1943
2454,2837,2217
2481,2906,2382
2498,3063,2339
2510,3201,2117
2521,3239,1854
2514,3161,1736
2495,2977,1839
2457,2769,2078
2429,2668,2274
2388,2731,2288
2383,2876,2107
2411,3030,1846
2436,3136,1664
2443,3165,1637
2444,3082,1764
2455,2940,1969
2434,2824,2162
2399,2778,2263
2377,2829,2242
2365,2927,2008
2372,3025,1935
2391,3089,1931
2403,3125,2031
2435,3122,2123
2489,3095,2149
2532,3076,2138
2569,3063,2086
2563,3022,2043
2528,2954,2005
2476,2895,2039
2438,2873,2072
2457,2877,2052
2488,2907,2001
2535,2940,1978
2568,2965,1977
2573,2977,1987
2544,2951,2060
2526,2923,2100
2520,2900,2096
2488,2886,2089
2463,2854,2034
2453,2848,2003
2472,2875,2040
2512,2881,2114
2528,2894,2178
2537,2949,2183
2508,3023,2121
2468,3079,2062
2459,3115,2020
2459,3113,2054
2464,3054,2096
2441,2988,2115
2426,2957,2039
2408,2928,1950
2419,2898,1926
2411,2916,1985
2414,2893,2082
2440,2899,2153
2429,2987,2158
2426,3057,2078
2428,3163,1970
2448,3164,1917
2470,3083,1938
2511,2990,2003
2533,2845,2105
2560,2720,2163
2602,2680,2123
2571,2735,1986
2545,2852,1841
2525,2940,1819
2515,2985,1931
2526,3029,2147
2549,2993,2376
2580,2970,2509
2556,2986,2507
2520,3005,2393
2463,3034,2234
2413,3049,2106
2386,3053,2046
2372,3030,2056
2405,3001,2095
2464,3015,2105
2487,3042,2080
2493,3062,2044
2488,3063,2021
2458,3023,2048
2419,2990,2129
2303,2966,2210
2280,2999,2212
2334,3064,2093
2401,3143,1919
2487,3218,1789
2530,3162,1779
2550,3001,1892
2526,2803,2051
2454,2668,2136
2411,2639,2095
2359,2701,1979
2374,2855,1863
2400,2996,1821
2467,3081,1894
2557,3077,2071
2571,3003,2259
2530,2918,2358
2469,2866,2359
2417,2916,2260
2424,2999,2098
2419,3061,1982
2463,3077,1970
2449,3064,2011
2471,2995,2092
2507,2908,2180
2533,2905,2204
2568,2947,2147
2533,3025,2032
2493,3090,1948
2462,3097,1933
2392,3022,2001
2343,2912,2132
2341,2863,2225
2368,2860,2198
2420,2936,2043
2452,3050,1863
2527,3099,1771
2544,3037,1788
2521,2896,1906
2502,2747,2064
2477,2663,2149
2474,2673,2129
2501,2761,2015
2525,2915,1859
2551,3050,1743
2579,3135,1763
2635,3140,1916
2664,3073,2103
2634,3011,2234
2579,2998,2254
2511,3019,2178
2471,3045,2102
2444,3047,2114
2444,3042,2189
2474,3042,2236
2510,3067,2245
2539,3039,2219
2550,2996,2153
2526,2952,2115
2475,2863,2144
2423,2778,2201
2359,2724,2209
2324,2749,2127
2323,2819,1993
2357,2929,1851
2411,3018,1777
2465,3029,1842
2484,2959,2013
2458,2874,2200
2428,2821,2301
2384,2808,2258
2366,2894,2108
2386,3012,1911
2423,3108,1753
