x,y,z
2019,2012,3095
2020,2009,3095
2015,2012,3093
2011,2008,3096
2020,2013,3090
2029,2012,3084
2012,2014,3087
2013,2007,3088
2024,2007,3083
2015,2013,3085
2024,2018,3079
2021,2012,3079
2016,2011,3078
2018,2020,3075
2017,2014,3074
2004,2013,3068
2017,2014,3071
2017,2029,3072
2018,2012,3065
2018,2013,3066
2004,2013,3064
2017,2014,3060
2022,2012,3059
2013,2013,3060
2022,2011,3058
2019,2010,3057
2017,2013,3054
2020,2016,3055
2016,2011,3051
2016,2011,3053
2021,2014,3053
2021,2010,3048
2015,2014,3049
2021,2010,3049
2021,2010,3053
2017,2014,3050
2019,2015,3047
2022,2008,3050
2023,2017,3046
2022,2011,3045
2016,2014,3046
2023,2016,3045
2019,2010,3046
2020,2012,3041
2018,2009,3048
2023,2012,3046
2021,2009,3044
2016,2016,3044
2022,2009,3047
2018,2011,3049
2021,2014,3045
2020,2015,3042
2023,2017,3050
2013,2011,3048
2020,2018,3049
2019,2015,3048
2021,2008,3051
2016,2009,3058
2019,2017,3058
2023,2011,3056
2021,2011,3056
2015,2019,3060
2016,2013,3056
2018,2010,3061
2011,2013,3063
2020,2009,3065
2020,2014,3067
2016,2005,3066
2020,2013,3065
2015,2011,3068
2013,2016,3072
2016,2013,3076
2015,2009,3072
2012,2019,3081
2017,2015,3080
2018,2012,3077
2012,2018,3083
2014,2008,3087
2014,2012,3086
2014,2009,3093
2017,2016,3088
2013,2010,3093
2009,2011,3094
2022,2010,3098
2014,2013,3103
2019,2011,3104
2014,2014,3105
2012,2011,3102
2021,2021,3105
2014,2013,3110
2016,2013,3106
2012,2009,3110
2016,2010,3114
2014,2010,3118
2014,2013,3116
2015,2010,3114
2016,2013,3116
2015,2013,3123
2006,2013,3126
2014,2012,3124
2012,2009,3127
2014,2012,3127
2015,2014,3124
2030,2012,3132
2012,2009,3134
2008,2007,3134
2011,2007,3133
2016,2014,3135
2011,2011,3135
2009,2012,3138
2020,2017,3141
2022,2007,3137
2009,2009,3139
2015,2007,3137
2015,2012,3138
2010,2012,3136
2016,2016,3151
2011,2010,3140
2010,2013,3137
2013,2015,3133
2009,2012,3134
2014,2007,3150
2013,2011,3136
2017,2011,3140
2014,2014,3142
2020,2007,3136
2014,2011,3151
2015,2011,3138
2014,2008,3139
2011,2015,3135
2018,2010,3137
2011,2010,3121
2013,2012,3136
2020,2012,3132
2015,2008,3133
2013,2013,3129
2015,2015,3126
2016,2012,3124
2017,2009,3125
2011,2012,3126
2014,2006,3125
2012,2014,3120
2019,2013,3113
2014,2012,3120
2015,2014,3122
2013,2010,3112
2014,2010,3113
2016,2007,3112
2016,2009,3113
2019,2008,3108
2011,2009,3102
2017,2009,3103
2013,2015,3103
2018,2014,3101
2018,2010,3104
2018,2018,3094
2022,2016,3101
2019,2012,3089
2016,2010,3097
2012,2011,3089
2014,2012,3093
2017,2016,3087
2011,2015,3079
2016,2013,3084
2017,2012,3079
2018,2011,3079
2019,2011,3077
2017,2018,3077
2022,2013,3072
2016,2011,3073
2014,2008,3070
2019,2015,3069
2021,2010,3067
2020,2029,3063
2016,2014,3065
2020,2007,3063
2019,2009,3059
2019,2016,3056
2020,2011,3051
2019,2012,3055
2016,2010,3053
2020,2008,3057
2020,2012,3054
2022,2013,3052
2018,2012,3048
2021,2012,3049
2020,2014,3047
2020,2017,3044
2019,2012,3044
2020,2013,3041
2025,2011,3045
2017,2016,3047
2014,2007,3049
2020,2011,3048
2024,2014,3042
2020,2013,3045
2018,2013,3048
2022,2009,3042
2018,2014,3044
2018,2009,3041
2016,2012,3042
2016,2012,3045
2021,2014,3048
2021,2010,3044
2018,2010,3043
2016,2011,3048
2002,2010,3040
2020,2012,3045
2016,2013,3047
2025,2012,3050
2018,2013,3046
2021,2013,3050
2022,2014,3052
2020,2008,3053
2015,2014,3055
2018,2009,3053
2022,2010,3057
2013,2010,3061
2014,2013,3056
2020,2008,3064
2016,2016,3060
2017,2006,3066
2012,2012,3064
2013,2012,3066
2016,2015,3071
2014,2012,3068
2030,2013,3067
2011,2014,3072
2018,2010,3078
2016,2013,3072
2017,2012,3075
2015,2010,3083
2019,2016,3078
2015,2011,3081
2017,2013,3091
2015,2011,3086
2020,2010,3091
2018,2011,3095
2019,2013,3095
2013,2012,3095
2014,2013,3098
2014,2009,3099
2010,2011,3101
2021,2012,3102
2016,2012,3110
2021,2014,3107
2000,2014,3109
2020,2012,3115
2012,2012,3112
2015,2007,3113
2016,2010,3116
2014,2012,3122
2016,2010,3123
2014,2019,3122
2021,2007,3122
2011,2011,3130
2014,2010,3129
2010,2008,3122
2011,2011,3131
2015,2015,3128
2013,2015,3138
2001,2014,3135
2013,2011,3137
2020,2010,3137
2016,2013,3148
2014,2013,3136
2013,2010,3137
2015,2013,3140
2011,2013,3142
2015,2009,3138
2014,2013,3137
2017,2014,3141
2012,2011,3147
2011,2013,3142
2014,2012,3143
2014,2010,3144
2013,2012,3141
2017,2011,3138
2017,2013,3145
2018,2014,3142
2015,2011,3137
2012,2009,3139
2009,2007,3137
2016,2016,3136
2015,2012,3138
2014,2013,3135
2019,2016,3137
2013,2013,3133
2014,2007,3136
2018,2013,3132
2015,2015,3130
2016,2009,3131
2013,2016,3129
2018,2012,3122
2012,2011,3129
2015,2016,3127
2017,2009,3120
2018,2014,3121
2013,2010,3115
2012,2016,3121
2019,2011,3120
2016,2011,3116
2017,2005,3109
2013,2015,3112
2019,2013,3104
2018,2010,3107
2015,2012,3106
2015,2014,3099
2017,2019,3096
2015,2010,3101
2017,2013,3097
2015,2013,3098
2018,2013,3091
2013,2009,3083
2014,2010,3087
2011,2009,3086
2022,2016,3080
2017,2015,3081
2024,2012,3083
2017,2013,3081
2019,2010,3072
2015,2012,3071
2016,2015,3081
2017,2012,3073
2016,2011,3071
2020,2013,3070
2020,2015,3064
2018,2014,3065
2018,2015,3058
2021,2013,3058
2017,2011,3053
2022,2011,3060
2013,2009,3055
2014,2014,3057
2020,2013,3055
2022,2013,3053
2005,2010,3051
2015,2016,3050
2012,2010,3043
2015,2014,3050
2015,2007,3045
2019,2014,3044
2014,2013,3046
2017,2012,3043
2014,2014,3045
2020,2009,3045
2020,2008,3040
2018,2011,3043
2016,2015,3046
2019,2010,3048
2016,2014,3044
2016,2010,3040
2014,2012,3043
2018,2018,3044
2012,2012,3044
2022,2010,3043
2014,2011,3043
2021,2010,3042
2015,2010,3047
2019,2014,3052
2019,2008,3052
2015,2001,3047
2026,2013,3050
2016,2014,3045
2015,2010,3049
2019,2013,3054
2020,2029,3054
2017,2014,3054
2011,2017,3056
2000,2009,3054
2022,2011,3055
2018,2013,3063
2017,2016,3062
2017,2011,3063
2024,2008,3064
2017,2014,3065
2023,2012,3074
2013,2009,3065
2024,2012,3067
2016,2010,3079
2019,2008,3077
2016,2008,3076
2017,2013,3074
2020,2011,3080
2002,2009,3082
2018,2014,3081
2021,2000,3086
2016,2016,3093
2017,2005,3092
2021,2012,3088
2016,2012,3096
2016,2015,3096
2015,2015,3090
2021,2010,3100
2015,2014,3103
2018,2012,3104
2019,2009,3107
2021,2016,3110
2015,2011,3103
2030,2010,3117
2015,2009,3114
2016,2011,3118
2016,2009,3116
2017,2012,3118
2000,2012,3120
2020,2014,3121
2016,2005,3122
2015,2010,3120
2015,2012,3122
2031,2015,3127
2012,2016,3124
2019,2011,3125
2016,2010,3131
2011,2012,3131
2031,2009,3134
2015,2008,3129
2011,2017,3130
2012,2011,3132
2020,2012,3135
2013,2014,3132
2028,2015,3136
2013,2012,3131
2013,2010,3138
2015,2009,3138
2021,2014,3136
2016,2010,3139
2015,2010,3138
2013,2010,3142
2010,2012,3137
2015,2014,3129
2015,2015,3134
2016,2011,3135
2015,2013,3139
2017,2016,3134
2014,2014,3135
2017,2011,3136
2015,2008,3132
2017,2014,3131
2017,2016,3132
2012,2011,3134
2015,2015,3133
2018,2008,3131
2012,2015,3131
2013,2014,3127
2017,2010,3122
2011,2011,3125
2016,2013,3123
2013,2015,3126
2015,2010,3120
2009,2012,3119
2013,2013,3114
2016,2013,3115
2017,2010,3116
2012,2015,3109
2012,2012,3118
2012,2011,3112
2011,2014,3115
2015,2011,3109
2021,2012,3101
2015,2013,3105
2019,2011,3103
2013,2012,3103
2018,2012,3099
2017,2014,3097
2015,2012,3095
2013,2013,3096
2009,2010,3090
2011,2007,3090
2021,2010,3095
2017,2016,3087
2014,2014,3084
2020,2016,3080
2018,2016,3081
2018,2014,3078
2021,2012,3079
2018,2014,3074
2021,2011,3073
2015,2014,3066
2019,2011,3066
2017,2014,3066
2021,2015,3068
2016,2021,3065
2013,2015,3066
2019,2008,3061
2018,2016,3060
2020,2013,3059
2026,2015,3058
2020,2008,3060
2016,2016,3056
2018,2011,3054
2017,2014,3054
2018,2015,3051
2018,2012,3054
2022,2011,3051
2014,2003,3051
