ch1,ch2,ch3
1967,1985,1962
1964,1986,1959
1967,1985,1963
1970,1989,1966
1972,1991,1967
1975,1992,1972
1977,1994,1972
1978,1994,1974
1979,1995,1972
1981,1996,1971
1980,1995,1971
1980,1996,1970
1979,1993,1970
1979,1994,1970
1976,1993,1968
1978,1993,1971
1975,1993,1969
1974,1992,1969
1973,1991,1968
1975,1994,1970
1975,1996,1972
1974,1994,1971
1977,1995,1973
1978,1996,1974
1978,1996,1975
1980,1997,1975
1980,1997,1975
1980,1998,1975
1979,1995,1974
1982,1999,1976
1982,1996,1974
1984,1998,1975
1983,1996,1975
1984,1998,1975
1984,1996,1975
1983,1997,1973
1981,1993,1972
1982,1996,1973
1982,1994,1972
1984,1998,1975
1985,1998,1975
1983,1997,1974
1986,1996,1975
1988,1998,1978
1986,1998,1977
1987,2000,1977
1987,2000,1980
1988,1998,1979
1989,2000,1979
1990,2002,1979
1990,2001,1980
1991,2000,1980
1991,2001,1978
1990,1998,1978
1989,1998,1977
1991,2000,1978
1994,2000,1978
1994,1999,1977
1998,2000,1979
1997,2001,1980
1995,2000,1978
1999,2002,1980
1997,2002,1981
2000,2004,1982
2001,2004,1983
2001,2005,1983
2002,2003,1983
2002,2005,1982
2000,2004,1984
1999,2004,1984
1997,2002,1981
1997,2003,1982
1998,2003,1983
2001,2003,1983
1997,2000,1980
2002,2003,1982
2001,2001,1982
1998,2001,1979
1999,1999,1978
2001,2001,1979
2005,2002,1980
2004,2000,1982
2008,2003,1983
2010,2006,1984
2008,2006,1984
2008,2006,1984
2005,2004,1982
2004,2005,1981
2007,2005,1983
2004,2003,1981
2003,2005,1982
2001,2004,1983
1998,2002,1980
1996,2000,1978
1994,2000,1978
1998,1999,1979
1997,2000,1978
1998,2000,1978
2001,2001,1981
2000,2001,1979
2000,2002,1979
2000,2002,1978
2002,2001,1979
2003,2002,1979
2005,2002,1978
2003,2002,1979
2004,2002,1980
2004,2003,1980
2002,2002,1979
1998,2001,1980
1998,2000,1977
1993,1998,1975
1991,2000,1975
1990,1996,1975
1989,1997,1974
1986,1998,1975
1985,1996,1974
1986,1997,1974
1986,1997,1974
1989,1996,1974
1991,2000,1975
1989,1998,1975
1993,1998,1976
1994,2000,1974
1996,2000,1978
1994,2000,1975
1996,2000,1975
1995,1999,1975
1995,2000,1973
1996,2000,1976
1993,1998,1973
1988,1996,1973
1984,1995,1972
1984,1996,1971
1982,1995,1971
1978,1993,1969
1978,1993,1970
1977,1993,1970
1974,1994,1971
1978,1995,1972
1979,1996,1972
1978,1994,1971
1980,1996,1973
1984,1998,1972
1984,1996,1972
1987,1998,1974
1986,1998,1974
1987,1996,1973
1987,1998,1973
